code,fullplan,cnt,FastRequest,NormalRequest,extra
node_01_A,"[('node_01_A', 'node_11_C')]",1,0,1121,0.0
node_01_A,"[('node_01_A', 'node_04_C')]",1,0,1716,0.0
node_01_A,"[('node_01_A', 'node_04_A')]",1,0,3819,0.0
node_01_A,"[('node_01_A', 'node_09_B')]",1,0,1928,0.0
node_01_A,"[('node_01_A', 'node_26_C')]",1,0,1061,0.0
node_01_A,"[('node_01_A', 'node_23_A')]",1,0,2390,0.0
node_01_A,"[('node_01_A', 'node_04_B')]",1,724,0,0.0
node_01_A,"[('node_01_A', 'node_04_B')]",1,0,9765,0.0
node_01_A,"[('node_01_A', 'node_14_A')]",1,0,2620,0.0
node_01_A,"[('node_01_A', 'node_12_B')]",1,0,1340,0.0
node_01_A,"[('node_01_A', 'node_20_C')]",1,0,1609,0.0
node_01_A,"[('node_01_A', 'node_05_B')]",1,0,1421,0.0
node_01_A,"[('node_01_A', 'node_02_A')]",1,0,1019,0.0
node_01_A,"[('node_01_A', 'node_06_B')]",1,0,944,0.0
node_01_A,"[('node_01_A', 'node_02_C')]",1,0,2223,0.0
node_01_A,"[('node_01_A', 'node_08_C')]",1,0,734,0.0
node_01_A,"[('node_01_A', 'node_11_A')]",1,0,1606,0.0
node_01_A,"[('node_01_A', 'node_09_A')]",1,0,1188,0.0
node_01_A,"[('node_01_A', 'node_08_B')]",1,0,3059,0.0
node_01_A,"[('node_01_A', 'node_14_B')]",1,0,10289,0.0
node_01_A,"[('node_01_A', 'node_22_C')]",1,0,711,0.0
node_01_A,"[('node_01_A', 'node_14_C')]",1,0,2567,0.0
node_01_A,"[('node_01_A', 'node_27_A')]",1,0,4568,0.0
node_01_A,"[('node_01_A', 'node_12_C')]",1,0,998,0.0
node_01_A,"[('node_01_A', 'node_22_A')]",1,0,1557,0.0
node_01_A,"[('node_01_A', 'node_27_B')]",1,0,8711,0.0
node_01_A,"[('node_01_A', 'node_12_A')]",1,0,955,0.0
node_01_A,"[('node_01_A', 'node_23_C')]",1,0,1796,0.0
node_01_A,"[('node_01_A', 'node_16_B')]",1,0,859,0.0
