ID,code,plan,cnt,fast_product_quantity,normal_product_quantity
1,node_01_A,node_17_A,1,0,605
2,node_01_A,node_03_B,1,0,1200
3,node_01_A,node_07_C,1,0,1295
4,node_01_A,node_27_A,1,0,4568
5,node_01_A,node_05_C,1,0,1725
6,node_01_A,node_10_C,1,0,763
7,node_01_A,node_17_C,1,0,1472
8,node_01_A,node_13_C,1,0,591
9,node_01_A,node_15_A,1,0,649
10,node_01_A,node_04_C,1,0,1716
11,node_01_A,node_26_A,1,0,1470
12,node_01_A,node_18_B,1,0,483
13,node_01_A,node_23_A,1,453,0
14,node_01_A,node_23_A,1,0,2390
15,node_01_A,node_23_B,1,0,634
16,node_01_A,node_15_B,1,539,0
17,node_01_A,node_15_B,1,0,1470
18,node_01_A,node_14_B,1,0,10289
19,node_01_A,node_21_B,1,0,728
20,node_01_A,node_16_C,1,0,909
21,node_01_A,node_09_C,1,0,1500
22,node_01_A,node_13_A,1,0,1284
23,node_01_A,node_21_A,1,0,593
24,node_01_A,node_03_C,1,0,1306
25,node_01_A,node_02_C,1,0,2223
26,node_01_A,node_14_A,1,0,2620
27,node_01_A,node_10_A,1,0,1168
28,node_01_A,node_21_C,1,0,1204
29,node_01_A,node_04_A,1,695,0
30,node_01_A,node_04_A,1,0,3819
31,node_01_A,node_25_A,1,0,298
32,node_01_A,node_09_B,1,0,1928
33,node_01_A,node_05_B,1,0,1421
34,node_01_A,node_12_A,1,0,955
35,node_01_A,node_20_A,1,0,1447
36,node_01_A,node_15_C,1,430,0
37,node_01_A,node_15_C,1,0,1690
38,node_01_A,node_18_C,1,0,348
39,node_01_A,node_12_B,1,0,1340
40,node_01_A,node_09_A,1,0,1188
41,node_01_A,node_11_B,1,0,1789
42,node_01_A,node_08_B,1,592,0
43,node_01_A,node_08_B,1,0,3059
44,node_01_A,node_02_A,1,0,1019
45,node_01_A,node_20_C,1,440,0
46,node_01_A,node_20_C,1,0,1609
47,node_01_A,node_08_A,1,0,1746
48,node_01_A,node_27_C,1,0,6174
49,node_01_A,node_06_A,1,0,1884
50,node_01_A,node_06_C,1,0,863
51,node_01_A,node_03_A,1,0,1059
52,node_01_A,node_22_A,1,0,1557
53,node_01_A,node_22_B,1,0,1340
54,node_01_A,node_26_C,1,0,1061
55,node_01_A,node_17_B,1,0,1323
56,node_01_A,node_13_B,1,0,1057
57,node_01_A,node_12_C,1,0,998
58,node_01_A,node_25_C,1,0,537
59,node_01_A,node_07_B,1,0,1347
60,node_01_A,node_23_C,1,0,1796
61,node_01_A,node_10_B,1,0,1299
62,node_01_A,node_11_A,1,457,0
63,node_01_A,node_11_A,1,0,1606
64,node_01_A,node_18_A,1,0,1016
65,node_01_A,node_06_B,1,0,944
66,node_01_A,node_20_B,1,953,0
67,node_01_A,node_20_B,1,0,2010
68,node_01_A,node_16_A,1,0,1358
69,node_01_A,node_11_C,1,0,1121
70,node_01_A,node_04_B,1,724,0
71,node_01_A,node_04_B,1,0,9765
72,node_01_A,node_14_C,1,0,2567
73,node_01_A,node_22_C,1,0,711
74,node_01_A,node_02_B,1,0,1326
75,node_01_A,node_26_B,1,0,1306
76,node_01_A,node_16_B,1,0,859
77,node_01_A,node_25_B,1,0,546
78,node_01_A,node_08_C,1,0,734
79,node_01_A,node_27_B,1,0,8711
80,node_01_A,node_19_B¡¢node_19_C¡¢node_19_A,3,0,449
81,node_01_A,node_17_A,1,18,0
82,node_01_A,node_03_B,1,18,0
83,node_01_A,node_07_C,1,25,0
84,node_01_A,node_05_C,1,14,0
85,node_01_A,node_10_C,1,11,0
86,node_01_A,node_17_C,1,25,0
87,node_01_A,node_13_C,1,3,0
88,node_01_A,node_15_A,1,107,0
89,node_01_A,node_04_C,1,101,0
90,node_01_A,node_26_A,1,43,0
91,node_01_A,node_18_B,1,2,0
92,node_01_A,node_23_B,1,19,0
93,node_01_A,node_14_B,1,9,0
94,node_01_A,node_21_B,1,43,0
95,node_01_A,node_16_C,1,18,0
96,node_01_A,node_09_C,1,84,0
97,node_01_A,node_13_A,1,28,0
98,node_01_A,node_21_A,1,33,0
99,node_01_A,node_24_B,1,1,0
100,node_01_A,node_24_B,1,0,26
101,node_01_A,node_03_C,1,23,0
102,node_01_A,node_02_C,1,89,0
103,node_01_A,node_10_A,1,33,0
104,node_01_A,node_21_C,1,44,0
105,node_01_A,node_25_A,1,77,0
106,node_01_A,node_09_B,1,105,0
107,node_01_A,node_05_B,1,77,0
108,node_01_A,node_12_A,1,95,0
109,node_01_A,node_20_A,1,71,0
110,node_01_A,node_18_C,1,2,0
111,node_01_A,node_12_B,1,66,0
112,node_01_A,node_09_A,1,104,0
113,node_01_A,node_11_B,1,58,0
114,node_01_A,node_24_C,1,0,9
115,node_01_A,node_02_A,1,63,0
116,node_01_A,node_08_A,1,79,0
117,node_01_A,node_27_C,1,3,0
118,node_01_A,node_06_A,1,34,0
119,node_01_A,node_06_C,1,4,0
120,node_01_A,node_03_A,1,23,0
121,node_01_A,node_22_A,1,101,0
122,node_01_A,node_22_B,1,19,0
123,node_01_A,node_26_C,1,31,0
124,node_01_A,node_17_B,1,31,0
125,node_01_A,node_19_A,1,22,0
126,node_01_A,node_13_B,1,11,0
127,node_01_A,node_12_C,1,40,0
128,node_01_A,node_25_C,1,52,0
129,node_01_A,node_07_B,1,20,0
130,node_01_A,node_23_C,1,63,0
131,node_01_A,node_10_B,1,24,0
132,node_01_A,node_24_A,1,10,0
133,node_01_A,node_24_A,1,0,20
134,node_01_A,node_18_A,1,12,0
135,node_01_A,node_06_B,1,26,0
136,node_01_A,node_16_A,1,52,0
137,node_01_A,node_11_C,1,77,0
138,node_01_A,node_22_C,1,17,0
139,node_01_A,node_02_B,1,100,0
140,node_01_A,node_26_B,1,10,0
141,node_01_A,node_16_B,1,54,0
142,node_01_A,node_25_B,1,84,0
143,node_01_A,node_08_C,1,22,0
144,node_01_A,node_19_B,1,3,0
145,node_01_A,node_27_B,1,1,0
146,node_01_B,node_14_B,1,0,12202
147,node_01_B,node_12_C,1,0,1648
148,node_01_B,node_23_C,1,0,3142
149,node_01_B,node_04_A,1,0,5459
150,node_01_B,node_09_B,1,0,1942
151,node_01_B,node_05_B,1,0,2961
152,node_01_B,node_12_A,1,0,1390
153,node_01_B,node_06_B,1,0,1249
154,node_01_B,node_20_B,1,0,1750
155,node_01_B,node_02_A,1,0,1535
156,node_01_B,node_04_B,1,829,0
157,node_01_B,node_04_B,1,0,14827
158,node_01_B,node_27_C,1,0,8074
159,node_01_B,node_14_C,1,0,2976
160,node_01_B,node_22_C,1,0,887
